,Diary Phase,HH ID,Were you able to get in contact with the customer? ,3. What fuel was used?,3. What fuel was used?/Electricity,3. What fuel was used?/LPG,3. What fuel was used?/Kerosene,3. What fuel was used?/Charcoal,3. What fuel was used?/Firewood,3. What fuel was used?/Other,Please specify:,"4. What time did you start with any cooking activities? (lighting a fire, chopping vetables)",How much LPG was there before cooking (kg)?,How much kerosene was there before cooking (Litre)?,How much charcoal was there before cooking (kg)?,How much firewood was there before cooking (kg)?,How much other fuel was there before cooking (kg)?,How much LPG was there after cooking (kg)?,How much kerosene was there after cooking (Litre)?,How much charcoal was there after cooking (kg)?,How much firewood was there after cooking (kg)?,How much other fuel was there after cooking (kg)?,How long did it take to start the CHARCOAL fire? (mins),How long did it take to start the WOOD fire? (mins),Was any Charcoal saved for later?,Was any Firewood saved for later?,7. Gender of the cook:,8. Reason for cooking,8. Reason for cooking/Breakfast,8. Reason for cooking/Lunch,8. Reason for cooking/Supper,8. Reason for cooking/Snack,8. Reason for cooking/Food for baby,8. Reason for cooking/Water heating,8. Reason for cooking/Other,Please specify:.1,9. Adults:,10. Children:,11. Did any food not require cooking?,Please specify:.2,12. How many dishes were cooked?,13. How many times was water heated?,1a) Which dish was prepared?,Please specify:.3,1b) What was used?,Please specify:.4,1c) What was used?,1c) What was used?/Sufuria big,1c) What was used?/Sufuria medium,1c) What was used?/Sufuria small,1c) What was used?/Frying pan,1c) What was used?/Kettle,1e) Was a lid used?,1f) Fresh or reheated?,1g) Saving for later?,What time did you start cooking dish 1?,What was the meter reading before cooking?,What time did you finish cooking dish 1?,What was the meter reading after cooking?,2a) Which dish was prepared?,Please specify:.6,2b) What was used?,Please specify:.7,2c) What was used?,2c) What was used?/Sufuria big,2c) What was used?/Sufuria medium,2c) What was used?/Sufuria small,2c) What was used?/Frying pan,2c) What was used?/Kettle,2e) Was a lid used?,2f) Fresh or reheated?,2g) Saving for later?,What time did you start cooking dish 2?,What was the meter reading before cooking?.1,What time did you finish cooking dish 2?,What was the meter reading after cooking?.1,3a) Which dish was prepared?,Please specify:.9,3b) What was used?,3c) What was used?,3c) What was used?/Sufuria big,3c) What was used?/Sufuria medium,3c) What was used?/Sufuria small,3c) What was used?/Frying pan,3c) What was used?/Kettle,3e) Was a lid used?,3f) Fresh or reheated?,3g) Saving for later?,What time did you start cooking dish 3?,What was the meter reading before cooking?.2,What time did you finish cooking dish 3?,What was the meter reading after cooking?.2,4a) Which dish was prepared?,Please specify:.12,4b) What was used?,4c) What was used?,4c) What was used?/Sufuria big,4c) What was used?/Sufuria medium,4c) What was used?/Sufuria small,4c) What was used?/Kettle,4e) Was a lid used?,4f) Fresh or reheated?,4g) Saving for later?,What time did you start cooking dish 4?,What was the meter reading before cooking?.3,What time did you finish cooking dish 4?,What was the meter reading after cooking?.3,5a) Which dish was prepared?,Please specify:.15,5b) What was used?,5c) What was used?,5c) What was used?/Sufuria big,5c) What was used?/Sufuria medium,5c) What was used?/Sufuria small,5c) What was used?/Kettle,5e) Was a lid used?,5f) Fresh or reheated?,5g) Saving for later?,What time did you start cooking dish 5?,What time did you finish cooking dish 5?,6a) Why was the water heated?,Please specify:.18,6b) What was used?,6c) What was used?,6c) What was used?/Sufuria big,6c) What was used?/Sufuria medium,6c) What was used?/Sufuria small,6c) What was used?/Frying pan,6c) What was used?/Kettle,6d) Was a lid used?,6e) How cold was the water/milk before heating?,6f) Saving for later (thermos)?,What time did you start heating the water 1?,What was the meter reading before cooking?.5,What time did you finish heating the water 1?,What was the meter reading after cooking?.5,7a) Why was the water heated?,Please specify:.21,7b) What was used?,7c) What was used?,7c) What was used?/Sufuria big,7c) What was used?/Sufuria medium,7c) What was used?/Frying pan,7c) What was used?/Kettle,7c) What was used?/Other,Please specify:.23,7d) Was a lid used?,7e) How cold was the water/milk before heating?,7f) Saving for later (thermos)?,What time did you start heating the water 2?,What was the meter reading before cooking?.6,What time did you finish heating the water 2?,What was the meter reading after cooking?.6
0,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,10:30:00.000+03:00,0,0,5,0,0,0,0,1,0,0,5,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Rice,0,Charcoal stove,0,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,19:00:00.000+03:00,0,20:10:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Reheated,Preparing meal in advance,20:15:00.000+03:00,0,20:50:00.000+03:00,0,Matoke,0,Charcoal stove,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,11:50:00.000+03:00,0,14:30:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,Preparing meal in advance,12:20:00.000+03:00,0,14:30:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,10:35:00.000+03:00,0,11:45:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,10:00:00.000+03:00,0,0,5,0,0,0,0,1,0,0,4,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Matoke,0,Charcoal stove,0,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,18:30:00.000+03:00,0,21:00:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,18:30:00.000+03:00,0,21:00:00.000+03:00,0,Other,Posho,Charcoal stove,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,12:30:00.000+03:00,0,14:30:00.000+03:00,0,Beans,0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,None,11:00:00.000+03:00,0,14:30:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Sometimes,Fresh,Some,10:05:00.000+03:00,0,10:55:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,09:50:00.000+03:00,0,0,4,0,0,0,0,1,0,0,5,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Rice,0,Charcoal stove,0,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,18:30:00.000+03:00,0,20:30:00.000+03:00,0,Beans,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Reheated,Preparing meal in advance,20:33:00.000+03:00,0,21:00:00.000+03:00,0,Other,Posho,Charcoal stove,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,12:55:00.000+03:00,0,15:00:00.000+03:00,0,Beans,0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,Preparing meal in advance,11:00:00.000+03:00,0,15:00:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,10:00:00.000+03:00,0,11:00:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,08:35:00.000+02:00,0,0,20,0,0,0,0,10,0,0,12,0,No,0,Nakamwanya Hasifa,Female,Supper,0,0,1,0,0,0,0,0,2,6,No,0,2,1,Beans,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,Precooking,09:50:00.000+02:00,0,11:40:00.000+02:00,0,Rice,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,Preparing meal in advance,19:00:00.000+02:00,0,20:14:00.000+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,10:00:00.000+03:00,0,0,5,0,0,0,0,1,0,0,5,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Rice,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,19:20:00.000+03:00,0,20:35:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Reheated,Preparing meal in advance,20:35:00.000+03:00,0,21:00:00.000+03:00,0,Matoke,0,Charcoal stove,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,11:50:00.000+03:00,0,14:20:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,Preparing meal in advance,12:00:00.000+03:00,0,14:20:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,10:00:00.000+03:00,0,10:50:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,09:40:00.000+03:00,0,0,4,0,0,0,0,1,0,0,5,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Rice,0,Charcoal stove,0,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,18:00:00.000+03:00,0,20:30:00.000+03:00,0,Beans,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Reheated,Preparing meal in advance,20:30:00.000+03:00,0,21:00:00.000+03:00,0,Other,Posho ,Charcoal stove,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,12:30:00.000+03:00,0,14:20:00.000+03:00,0,Beans,0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,Preparing meal in advance,12:00:00.000+03:00,0,14:20:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,09:50:00.000+03:00,0,10:45:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,10:20:00.000+03:00,0,0,3,0,0,0,0,1,0,0,5,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,2,5,No,0,4,1,Other,Matoke and cassava,Charcoal stove,0,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,18:00:00.000+03:00,0,20:40:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,20:40:00.000+03:00,0,21:30:00.000+03:00,0,Other,Posho,Charcoal stove,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,12:30:00.000+03:00,0,14:00:00.000+03:00,0,Beans,0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,None,11:30:00.000+03:00,0,14:00:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,10:25:00.000+03:00,0,11:30:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,09:40:00.000+03:00,0,0,3,0,0,0,0,0,0,0,4,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Matoke,0,Charcoal stove,0,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,18:30:00.000+03:00,0,21:00:00.000+03:00,0,Beans,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Reheated,Preparing meal in advance,21:00:00.000+03:00,0,21:30:00.000+03:00,0,Other,Posho,Charcoal stove,Sufuria big,1,0,0,0,0,Sometimes,Fresh,None,12:30:00.000+03:00,0,14:50:00.000+03:00,0,Beans,0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,Preparing meal in advance,10:45:00.000+03:00,0,14:50:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,09:45:00.000+03:00,0,10:40:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,10:00:00.000+03:00,0,0,4,0,0,0,0,1,0,0,5,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Matoke,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,18:30:00.000+03:00,0,20:30:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Reheated,Preparing meal in advance,20:30:00.000+03:00,0,21:00:00.000+03:00,0,Matoke,0,Charcoal stove,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,11:30:00.000+03:00,0,14:40:00.000+03:00,0,"Soup (goat, beef, fish)",0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,Preparing meal in advance,11:30:00.000+03:00,0,14:40:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,10:00:00.000+03:00,0,10:55:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Pre EPC,702378789,Yes ,Charcoal,0,0,0,1,0,0,0,10:00:00.000+03:00,0,0,13,0,0,0,0,10,0,0,5,0,Yes,0,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,0,5,2,No,0,4,1,Rice,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,19:00:00.000+03:00,0,20:00:00.000+03:00,0,Beans,0,Charcoal stove,0,Sufuria medium,0,1,0,0,0,Sometimes,Reheated,Preparing meal in advance,20:00:00.000+03:00,0,20:30:00.000+03:00,0,Rice,0,Charcoal stove,Sufuria medium,0,1,0,0,0,Sometimes,Fresh,None,12:00:00.000+03:00,0,13:00:00.000+03:00,0,Beans,0,Charcoal stove,Sufuria medium,0,1,0,0,Sometimes,Fresh,Preparing meal in advance,10:40:00.000+03:00,0,13:30:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tea/coffee/cocoa/milk,0,Charcoal stove,Kettle,0,0,0,0,1,Yes,Fresh,Some,10:06:00.000+03:00,0,10:40:00.000+03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
